x;y;layer1;layer2;voltage1;voltage2;current
793.176;851.824;TOP_LAYER;BOTTOM_LAYER;0.00401777;0.00406652;-0.0401389
812.176;1077.82;TOP_LAYER;BOTTOM_LAYER;0.00441229;0.00440866;0.00299245
865.46;1253.44;TOP_LAYER;BOTTOM_LAYER;0.00458338;0.00458338;-2.2321e-15
864.176;1043.82;TOP_LAYER;BOTTOM_LAYER;3.29308;3.29308;0.0023976
879.176;264.824;TOP_LAYER;BOTTOM_LAYER;-0.000105857;-0.000105859;1.01023e-06
895.176;19.8242;TOP_LAYER;BOTTOM_LAYER;11.9975;11.9975;0.0021
907.176;264.824;TOP_LAYER;BOTTOM_LAYER;-0.000105854;-0.000105853;-1.01023e-06
917.176;1178.82;TOP_LAYER;BOTTOM_LAYER;3.29311;3.29311;-3.6559e-12
920.617;439.769;TOP_LAYER;BOTTOM_LAYER;0.00405574;0.00405474;0.000818063
935.378;470.423;TOP_LAYER;BOTTOM_LAYER;0.00405653;0.00405692;-0.00031943
948.176;439.769;TOP_LAYER;BOTTOM_LAYER;0.00405631;0.00405692;-0.000498633
948.176;912.699;TOP_LAYER;BOTTOM_LAYER;3.29306;3.29306;-0.0023976
957.204;940.912;TOP_LAYER;BOTTOM_LAYER;0.00461655;0.00461292;0.0029868
996.527;24.5051;TOP_LAYER;BOTTOM_LAYER;-0.000105266;-0.000105266;6.97533e-17
996.527;1022.47;TOP_LAYER;BOTTOM_LAYER;0.0045913;0.0045913;-2.2321e-15
996.527;1322.47;TOP_LAYER;BOTTOM_LAYER;0.00458338;0.00458338;-2.2321e-15
1016.21;753.289;TOP_LAYER;BOTTOM_LAYER;3.29304;3.29304;5.11826e-12
1027.96;143.04;TOP_LAYER;BOTTOM_LAYER;11.9975;11.9975;-1.24934e-11
